Name,Address
Çinar Market-1,"Çinar Market-1, Sumqayıt şəh 12MKR Koroğlu PR, Arzu şadlıq eviynən üzbəüz"
Vüsal Market,"Vüsal Market, Abşeron r-nu, Saray qəs, Cəfər Cabbarlı küç"
Bərəkət Market,"Bərəkət Market,Sumqayıt şəh 14cü məhəllə Bazarstore keçəndən sonra ləzgilərin dükanı"
Çinar Market-2,"Çinar Market-2,Sumqayıt şəh 2MKR Sülh küç, Cavid Univermağına yaxı"
Zəngəzur market,"Zəngəzur market,Abşeron rayonu Saray qəsəbəsi H.Əliyev küçəsi Saray petroldan üzü duzlu gölə gedəndə sağd"
Şərab evi,"Şərab evi, Sumqayıt şəh., 34-cu Məhəllə ev 16, Sputnikin üstü"
Elmar Market-5,"Elmar Market-5, Sumqayıt şəh Kimyaçılar qəsəbəsi Esmira şadlıq sarayının aşağısı"
Karandaş Store,"Karandaş Store, Sumqayıt ş.,Koroğlu pr.,18-ci MKR dairəsi"
Sum Market,"Sum Market, Sumqayıt şəh, 44-cü məhəllə, 9-cu MKR"
Emil Market,"Emil Market, Sumqayıt şəh.3-cü MKR, Bakı küçəsi 12 mərtəbəyə gedən yol"
Sum Market,"Sum Market, Sumqayıt şəh, 44-cü məhəllə, 9-cu MKR"
Nazim market,"Nazim market, Abşeron ray. Saray qəs. Səməd Vurgun 14, Əsləm marketdən sola düz Sumqayıta gedən yo"
Ruslan Market,"Ruslan Market, Abşeron r-nu, Ceyranbatan qəs., Heydər Əliyev küç ev 9"
Bəhram Market,"Bəhram Market, Sumqayıt şəh. 20-ci məhəllə Pərviz Hüseynov küç ev"
Göyçay Market,"Göyçay Market, Sumqayıt şəh., 22-ci məhəllə, H.Əliyev pr., 54<br>Doğum eviynən üzbə üz"
Qardaşlar Market,"Qardaşlar Market, Abşeron r-nu Saray qəs Azadlıq küç 1 ev 11-in yanı (Ə)"
Elşad Market,"Elşad Market, Sumqayıt ş.,10-cu MKR ev 35-36 yanı, Eloğlu şadlıq evinin yanı"
Seymur Aptek,"Seymur Aptek, Sumqayıt ş.,Heydər Əliyev pr., Rustavi küç. Ev20/29"
Market (Sayuz Peçat),"Market (Sayuz Peçat), Sumqayıt ş., 3-cü məhəllə Məşədi Əzizbəyov küç 27/10"
Samir Market,"Samir Market, Sumqayıt ş.,17-ci MKR ev 49 yanı, Büllur şad.evinin yan"
Səda Store,"Səda Store, Sumqayıt şəh. 17-ci MKR İsmət Qayıbov küç"
Karvan Market,"Karvan Market, Abşeron r-nu,Saray qəs., M.Ə.Rəsulzadə küç., əsas yol"
Bazarstore Sumqayıt -2,"Bazarstore Sumqayıt -2, Sumqayıt şəh., 44-cü məhəllə Bakı küç., 37"
Nahid Market Abşeron rn,"Nahid Market Abşeron rn, Saray qəs., Şıxəli Qurbanov küç. Əsas yol"
Aptek Sumqayıt 1-ci MKR,"Aptek Sumqayıt 1-ci MKR, Cəfər Cabbarlı küçəsi"
Asiman Market Sumqayıt rn,"Asiman Market Sumqayıt rn, 1-ci MKR 5 nömrəli məktəbin qarşısı."
Ən Ucuz Market,"Ən Ucuz Market, Sumqayıt şəh. 3 MKR Sülh küç., Avtovağzalın yanı"
Qayalı Market,"Qayalı Market, Sumqayıt şəh., 6-cı MKR., Heydər parknan üzbəüz"
Azəri Market,"Azəri Market, Abşeron ray Saray qəs, yolun sağı(s)"
Süsən Market,"Süsən Market, Sumqayıt şəhəri, 10-cu MKR ev 3."
Rundun Market,"Rundun Market, 24 saat Sumqayıt, H.Z.Tağıyev qəs. Bakı-Quba şossesi Bazarın yanı"
Mübariz Market,"Mübariz Market, Sumqayıt 8-ci MKR, dayanacağın yanı"
Röya Market,"Röya Market, Sumqayıt, 20-ci MKR 4-cü küçə 141 A"
Ərzaq Dükanı,"Ərzaq Dükanı, Səməd Vurğun küç. 7,8 məhəllə Socar-ın yanı"
Elnur Market,"Elnur Market, Sumqayıt 13-cü MKR ev 19-21-in yanı"
Karandaş Store,"Karandaş Store, Sumqayıt ş.,Koroğlu pr.,18-ci MKR dairəsi"
Rüfət Market,"Rüfət Market, Sumqayıt şəh., H.Z.Tağıyev qəs Ç.Qurbanov küç ev 18 m1, 30-nli marşurutun sonu"
Yaşıl Market,"Yaşıl Market, Sumqayıt 20-ci məhəllə Kapital Bankın yanı"
Çinar Market-3,"Çinar Market-3, Sumqayıt şəh 41-ci məhəllə Koroğlu küç, Sevgilim şadlıq eviynən üzbəüz (SSD)"
Ekonom Market,"Ekonom Market, Sumqayıt şəh., 6-cı MKR Səməd Vurğun küç., Zəhmət MTK-nın binası Cümə məscidinin yaxınlığı"
Sumqayıt Sukanal İdarəsi,"Sumqayıt Sukanal İdarəsi, Sumqayıt şəh. Kimyaçılar qəsəbəsi, Səməd Vurğun keçidi, Bərpa xəstəxanasından sonra (s)(T)"
AG-Sumqayıt,"AG-Sumqayıt, QİS (s)(T)"
ARAZ Market,"ARAZ Market, Sumqayıt şəh., 9-cu MKR, Ü. Hacıbəyov küç. 24 C, Kövsət şadlıq evinin yanı(s)"
Ordubad Market,"Ordubad Market, Sumqayıt şəh. 40cı məhəllə Xəstəxananın yan"
Yasəmən Market,"Yasəmən Market, Sumqayıt şəhəri, Nəriman Nərimanov küç 2 Nurlan Şadlıq evinin yanı"
Sumqayıt Sukanal İdarəsi 3,"Sumqayıt Sukanal İdarəsi 3, Sumqayıt şəhəri 16-cı Məhəllə, ASAN ximdət tərəf, Müştəri xidmətinin binası(U)"
İmran Market,"İmran Market, Sumqayıt şəh 17 mkr İsmət Qayıbov küç Qubadlı şadlıq evinin arxası(s)"
Lider Market,"Lider Market, Sumqayıt şəh 1-cü MKR Sülh küç , Maarif şöbəsinin arxası yeni tikilinin altı"
Eltac Market,"Eltac Market, Abşeron r-nu Saray qəs. Sevil Qazıyeva küç. Saray körpüsünün yanı"
Sumqayit Avtovagzal,Sumqayit Avtovagzal
RabitəBank ASC,"RabitəBank ASC, (Sumqayıt filialı),Sumqayıt şəhəri, S.Vurğun küç., 102"
Endi Market - 5,"Endi Market - 5,Binəqədi r-nu M.Ə.Rəsulzadə qəs. Binəqədi şossesi Emin qetroldan qabaq (U-g)"
Davud Market,"Davud Market, (Endi-4),Binəqdi r-nu Biləcəri qəs. DSK-Binəqədi şossesi, Ekologiya pstundan sağda Daş bazarının yanı (U-g)"
NEPTUN Market,"NEPTUN Market, 12-2,Binəqədi r-nu Binəqədi şossesi 8 Respublikanski Qai-ni keçəndən sonra sağda(U-g)"
AS Market,"AS Market, Abşeron ray Mehtiabad qəs H.Cavid 23, Fatmei yolu, EL marketdən sola (U-g)"
