Country Name,Country Code,Year,GDP_Growth,Oil_Price_Mean,Oil_Price_Std,Oil_Price_Min,Oil_Price_Max,GDP_Growth_Normalized,Oil_Price_Normalized
Azerbaijan,AZE,2000,11.0999991434346,32.160671936758895,3.4001378273714176,24.55,40.93,0.3956780660102072,0.049114686856457646
Azerbaijan,AZE,2001,9.89999986533643,27.955719844357976,3.4134130485419236,20.01,34.18,0.3646424008487212,0.0
Azerbaijan,AZE,2002,9.43891626906561,28.493254901960782,2.9409877006274017,21.67,35.52,0.35271736358703687,0.006278517673540374
Azerbaijan,AZE,2003,10.2082994004776,32.35081395348837,2.4834831265704564,26.73,38.44,0.3726159732639043,0.0513355838856534
Azerbaijan,AZE,2004,9.25380179728907,41.75969348659004,5.644118373438005,32.52,55.78,0.34792973507137037,0.1612331907510307
Azerbaijan,AZE,2005,27.9615381082131,57.946536964980545,5.982604672186456,44.25,70.06,0.8317692262045587,0.35029878083762606
Azerbaijan,AZE,2006,34.4662096226792,68.13470588235293,5.6704691417174455,59.32,81.06,1.0,0.46929864457489184
Azerbaijan,AZE,2007,25.4632157314482,75.17116,11.334851675448515,53.45,97.92,0.7671549400413131,0.5514858450408888
Azerbaijan,AZE,2008,10.591437462476,99.23802371541503,28.409882042453155,37.23,145.95,0.38252509972742055,0.832591657669717
Azerbaijan,AZE,2009,9.36950260277183,64.82488095238095,12.027237166128932,42.91,81.48,0.3509221130864373,0.4306392231562633
Azerbaijan,AZE,2010,4.78883248761557,82.07928571428572,5.471712650386583,69.98,95.63,0.23245192189221808,0.6321741439243274
Azerbaijan,AZE,2011,-1.5729973511111,113.26427419354839,7.072361117672393,95.52,128.64,0.06791547233535508,0.9964210866063063
Azerbaijan,AZE,2012,2.20293891708398,113.57068273092369,8.082920010922225,90.69,130.14,0.1655727758268548,1.0
Azerbaijan,AZE,2013,5.84341590483928,110.555,4.640933113002446,98.84,120.9,0.25972668648514574,0.9647762186743072
Azerbaijan,AZE,2014,2.79758521448559,100.88811023622048,14.542123398473027,58.47,116.99,0.18095215455858435,0.8518650003795856
Azerbaijan,AZE,2015,1.04954641215085,55.340862745098036,7.747767219692126,38.46,68.83,0.13574250489568865,0.3198639814517423
Azerbaijan,AZE,2016,-3.06359842251706,46.838,6.702819150695401,29.21,58.17,0.029363952692088205,0.22054883304288558
Azerbaijan,AZE,2017,0.153614661745507,57.2044921875,5.130284529044991,47.18,69.3,0.11257095944510084,0.341631548470035
Azerbaijan,AZE,2018,1.50040167167313,73.82111111111112,6.699165342816514,53.77,87.87,0.14740300596949316,0.5357170022665527
Azerbaijan,AZE,2019,2.47980879185565,66.92046692607005,4.205259701389238,56.43,77.44,0.17273348074022324,0.45511608915065277
Azerbaijan,AZE,2020,-4.19896065333343,44.90705882352941,11.904541794255326,12.12,72.45,0.0,0.19799505142145374
Azerbaijan,AZE,2021,5.61644027150554,73.0296442687747,7.7116968126409,53.37,87.26,0.2538563998237017,0.5264725102332493
Azerbaijan,AZE,2022,4.71468033247649,102.45630952380954,13.405616927638448,78.22,134.68,0.23053411952358133,0.8701818837223583
Azerbaijan,AZE,2023,1.35447749115767,84.25880478087649,5.848455878754408,73.23,98.6,0.14362895869454842,0.6576313653387487
Azerbaijan,AZE,2024,4.07140205008956,82.33602362204724,5.131736210775969,72.51,94.62,0.2138969683667426,0.6351728943659023
