city_id,id,slug,is_nfc,cash_in,type,working_weekends,is_digital,lat,lng,work_hours_week,work_hours_saturday,work_hours_sunday,address,name,function
1,256,xezer-filiali-598,0,0,B,0,0,40.48656,50.17039,09:00-17:00,,,"Xəzər rayonu, Şüvalan kəndi, A.İldırım küçəsi 16",Xəzər filialı,branch
1,257,genclik-mall-filiali-597,0,0,B,1,0,40.39998,49.85283,10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-18:00),10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-19:00),10:00-19:00 (Müştərilərə xidmət vaxtı 10:00-19:00),"Bakı şəh., şəhəri, Fətəli Xan Xoyski pr., Gənclik Mall ticarət mərkəzinin -1 mərtəbəsi",Gənclik Mall filialı,branch
1,258,merkez-filiali-596,0,0,B,0,0,40.38115029970079,49.84169446823125,09:00-17:00,,,"Bakı şəhəri, Nəsimi rayonu, Bülbül prospekti 60",Mərkəz filialı,branch
1,259,bash-ofis-595,0,0,B,0,0,40.37907,49.84473,,,,"Bakı şəh, Füzuli küç. 71",Baş ofis,branch
4,314,agdam-filiali-679,0,0,B,1,0,40.1635961807932,47.1560543678188,09:00-17:00,10:00-14:00,,"Ağdam rayonu, Quzanlı kəndi",Ağdam filialı,branch
5,323,agdash-rayon-filiali,0,0,B,0,0,40.64526,47.47483,09:00-17:00,,,"Аğdаş şəhəri, Hеydər Əliyеv Хiyаbаnı 6",Ağdaş rayon filialı,branch
6,327,agstafa-rayon-filiali-647,0,0,B,0,0,41.113437,45.441330,09:00-17:00,,,"Аğstаfа şəhəri, Cəfər Cabbarlı küçəsi 25A",Ağstafa rayon filialı,branch
8,336,astara-rayon-filiali-669,0,0,B,0,0,38.45038,48.87411,09:00-17:00,,,"Astara şəhəri, H. Əliyev prospekti 71",Astara rayon filialı,branch
9,344,babekbabek-filiali-627,0,0,B,0,0,39.15805,45.44623,09:00-17:00,,,"Naxçıvan MR, Bаbək rayonu, Babək qəsəbəsi, H. Əliyеv prospеkti 26",Babək filialı,branch
68,352,zaqatala-filiali-633,0,0,B,0,0,41.630428314208984,46.63865661621094,09:00-17:00,,,"Zaqatala şəhəri, H.Əliyev pr.169",Zaqatala rayon filialı,branch
1,360,shusha-filiali-610,0,0,B,1,0,40.42193,49.8426,09:00-17:00,10:00-14:00,,"Bakı şəhəri, Binəqədi rayonu, 8 M/R, İbrahimpaşa Dadaşov küçəsi 3158/3156-cı məhəllə",Şuşa filialı,branch
1,361,sabuncu-filiali-612,0,0,B,0,0,40.43260,49.96037,09:00-17:00,,,"Sabunçu rayonu, Ə. Ağayev küçəsi 41",Sabunçu filialı,branch
1,362,bakixanov-filiali-613,0,0,B,1,0,40.416747,49.965244,09:00-17:00,10:00-14:00,,"Bakıxanov qəsəbəsi, S.Qocayev küç.,13A, B, C",Bakıxanov filialı,branch
27,363,xizi-filiali-619,0,0,B,0,0,40.910855,49.074008,09:00-17:00,,,"Хızı şəhəri, Heydər Əliyev prospekti 245",Xızı filialı,branch
